Key,zh-Hans,en
Card.1001.Name,工人,
Card.1001.Description,勤快的工人，准时交租。,
Card.1002.Name,白领,
Card.1002.Description,工作稳定，房间整洁。,
Card.1003.Name,程序员,
Card.1003.Description,高薪但经常加班。,
Card.1004.Name,高级教师,
Card.1004.Description,安静的老房客，长住不走。,
Card.1005.Name,学生,
Card.1005.Description,房租便宜但租期短。,
Card.1006.Name,主播,
Card.1006.Description,高收入但经常搬家。,
Card.1007.Name,医生,
Card.1007.Description,定金高，长期承租。,
Card.1008.Name,厨师,
Card.1008.Description,稳定可靠的好房客。,
Card.1009.Name,画家,
Card.1009.Description,需要时间适应新房间。,
Card.1010.Name,快递员,
Card.1010.Description,来得快，去得也快。,
Card.1011.Name,工会文员,
Card.1011.Description,可靠的办公收入，房客流失少。,
Card.1012.Name,夜班护士,
Card.1012.Description,长班次，稳定回报，难以驱赶。,
Card.1013.Name,临时工,
Card.1013.Description,便宜入场，快速回报，快速退出。,
Card.1014.Name,夜骑手,
Card.1014.Description,短期入住，高速节奏，容易变现。,
Card.1015.Name,万能工,
Card.1015.Description,保持房间硬件完好，照常交租。,
Card.1016.Name,转租户,
Card.1016.Description,低租金把闲置单位变成额外收入。,
Card.1017.Name,楼层规划师,
Card.1017.Description,每增加一个房间就赚一点。,
Card.1018.Name,装修负责人,
Card.1018.Description,建筑有更多房间在用时获得奖励。,
Card.1019.Name,夜间审计员,
Card.1019.Description,选中的房间满客时支付更多。,
Card.1020.Name,闪电经纪人,
Card.1020.Description,短期高薪房客，留下增值残余。,
Card.2001.Name,空调,
Card.2001.Description,提升房间舒适度。,
Card.2002.Name,双层床,
Card.2002.Description,增加一个房客位置。,
Card.2003.Name,热水器,
Card.2003.Description,基础设施，耐用性强。,
Card.2004.Name,WiFi路由器,
Card.2004.Description,生活必需品。,
Card.2005.Name,洗衣机,
Card.2005.Description,洗衣便利性。,
Card.2006.Name,租赁账本,
Card.2006.Description,把每个房间变成更清洁的收益线。,
Card.2007.Name,清仓招牌,
Card.2007.Description,让繁忙房间持续转化为现金。,
Card.2008.Name,额外书架,
Card.2008.Description,为堆满的房间增加一个房客位置。,
Card.2009.Name,电源插座,
Card.2009.Description,温和升级让叠放设备保持高效。,
Card.2010.Name,洗衣堆,
Card.2010.Description,提升房间舒适度，房客留存更久。,
Card.2011.Name,开放屋标志,
Card.2011.Description,房屋越空，表现越好。,
Card.2012.Name,隔断墙,
Card.2012.Description,纯容量增长，无额外条件。,
Card.2013.Name,涡轮计价表,
Card.2013.Description,把房间密度转化为每次结算的额外冲刺。,
Card.3001.Name,租金奖励,
Card.3001.Description,额外的租金收入。,
Card.3002.Name,经纪人介绍,
Card.3002.Description,支付费用抽取2张牌。,
Card.3003.Name,续签,
Card.3003.Description,说服所有房客留下。,
Card.3004.Name,维修,
Card.3004.Description,修复所有设备。,
Card.3005.Name,应急贷款,
Card.3005.Description,银行紧急资金。,
Card.3006.Name,催租单,
Card.3006.Description,小小推动让房客继续交租和现金流动。,
Card.3007.Name,招聘电话,
Card.3007.Description,立即抽牌补充手牌。,
Card.3008.Name,搬迁令,
Card.3008.Description,让头号房客搬出，为下一步计划腾出房间。,
Card.3009.Name,维修队,
Card.3009.Description,修复建筑并把维护费转化为小额收益。,
Card.3010.Name,空房清单,
Card.3010.Description,有人搬出时立即从空单位变现。,
Card.3011.Name,折扣传单,
Card.3011.Description,把冷淡市场变成立即抽牌。,
Card.3012.Name,施工许可,
Card.3012.Description,增加一个房间并在手牌中替换自己。,
Card.3013.Name,快速结算,
Card.3013.Description,为选中的房间触发一次安全的额外结算。,
Card.4001.Name,长期租约,
Card.4001.Description,在多个回合内锁定低风险收入。,
Card.4002.Name,空房条款,
Card.4002.Description,单位保持空房时付款更高。,
Card.4003.Name,蓝图交易,
Card.4003.Description,随着地产增长而变得更好的可扩展合约。,
Card.4004.Name,最终对账,
Card.4004.Description,短期合约推动最后的现金和牌张突发。,
