Key,zh-Hans,en
Card.1002.Name,白领,
Card.1002.Description,稳定底数，合同投资最优宿主。,
Card.1003.Name,程序员,
Card.1003.Description,安静、整洁；整洁使同房间装备效率额外提升一层。,
Card.1004.Name,高级教师,
Card.1004.Description,高消费：每回合 30% 概率额外耗 1 耐久。,
Card.1009.Name,画家,
Card.1009.Description,相邻有安静租客时，本房间 +200 加值。,
Card.2014.Name,隔音板,
Card.2014.Description,本房间有安静租客，+200 加值。,
Card.2015.Name,精装书架,
Card.2015.Description,本房间有安静租客，收益 x1.5。,
Card.2016.Name,全屋静音套装,
Card.2016.Description,本房间及左右相邻均有安静租客，收益 x2.0。,
Card.3001.Name,租金奖励,
Card.3001.Description,立即 +500¥。,
Card.3002.Name,经纪人介绍,
Card.3002.Description,随机抽 2 张租客卡到手牌。,
Card.3003.Name,续签,
Card.3003.Description,所有场上租客耐久 +2。,
Card.3004.Name,维修,
Card.3004.Description,选择一件装备，耐久恢复满值。,
Card.3005.Name,应急贷款,
Card.3005.Description,立即 +1000¥，下回合额外支出 400¥。,
Card.3006.Name,催租单,
Card.3006.Description,本回合所有房间额外结算一次。,
Card.3007.Name,招聘电话,
Card.3007.Description,随机抽 1 张装备卡到手牌。,
Card.3008.Name,搬迁令,
Card.3008.Description,将场上一名租客移动到另一个空房间。,
Card.3009.Name,维修队,
Card.3009.Description,所有装备耐久 +1。,
Card.3011.Name,折扣传单,
Card.3011.Description,本回合手牌所有卡费用 -40%。,
Card.3012.Name,施工许可,
Card.3012.Description,扩展一个房间装备槽 +1。,
Card.4005.Name,安静公约,
Card.4005.Description,每个安静租客 +200 加值（乘法前计算）。,
Card.4006.Name,居家认证,
Card.4006.Description,有安静租客的房间收益 x1.5。,
Card.4007.Name,静谧奖励,
Card.4007.Description,每个安静租客 +100 额外收入（乘法后独立结算）。,
Card.4008.Name,沉默协议,
Card.4008.Description,安静房间本回合额外结算一次。,
Card.9999.Name,市场,
Card.9999.Description,打开商店。,
